Term (EN),Description (EN),Rmk,JP Glossary,KR Glossary,Category,Feature,Marketing Reference,Changed,Changes,Status,
Mention,A feature to ping another user via @username or email.,,メンション,언급,3D Workspace,Tag,,,,✅ Confirmed,
Add [+Add],A button to add new folder/New recording/Tag/Comment in 3D Workspace.,,追加,추가,3D Workspace,Tag,,,,✅ Confirmed,
Document,A tag containing a document file.,,- 資料,- 파일,3D Workspace,Tag,,,,✅ Confirmed,
Media (Tag),A tag containing a media (image or video) file.,,- メディア,- 미디어,3D Workspace,Tag,,,,✅ Confirmed,
Memo,A tag containing text description.,,- メモ,- 설명,3D Workspace,Tag,,,,✅ Confirmed,
URL,A tag containing a hyperlink text and URL.,,- URL,- 하이퍼링크,3D Workspace,Tag,,,,✅ Confirmed,
IoT Tag,A tag that embeds real-time IoT data from external sources into 3D Workspace.,,IoT タグ,IoT 태그,3D Workspace,Tag,,,,✅ Confirmed,
Tag Focus,"The icon in the tag tile bar. By clicking, app will show the tag in the 3D Viewer.",,タグフォーカス,태그 포커스,3D Workspace,Tag,,,,✅ Confirmed,
Comment,A tool to notify other team members of specific tasks and get a conversation started.,,コメント,코멘트,3D Workspace,Comment,Comment,,,✅ Confirmed,
Thread,A group of comments/messages displayed in chronological order.,,スレッド,스레드,3D Workspace,Comment,,,,✅ Confirmed,
Resolve,A checkbox to resolve the comment.,,解決する,해결됨,3D Workspace,Comment,,,,✅ Confirmed,
Comment Number icon,An icon to represent the number of replies on the comment.,,コメント数アイコン,코멘트 수,3D Workspace,Comment,,,,✅ Confirmed,
Comment View Option,A button to select the option to view All or Only yours.,,コメント表示オプション,코멘트 표시 옵션,3D Workspace,Comment,,,,✅ Confirmed,
Measurement,A virtual tool for users to get measurements in 3D Workspace.,,メジャー,측량,3D Workspace,Measurement,Measure,,,✅ Confirmed,
Polyline,A continuous line composed of one or more line objects to measure.,,ポリライン,폴리라인,3D Workspace,Measurement,,,,✅ Confirmed,
Line,A button to measure by creating the line.,,ライン,라인,3D Workspace,Measurement,,,,✅ Confirmed,
Meshed Line,A style of the line created in the air.,,メッシュライン,메쉬,3D Workspace,Measurement,,,,✅ Confirmed,
3D Object,A virtual 3D box created by a user as a point of reference for 3D measurement.,,3D オブジェクト,3D 박스,3D Workspace,Measurement,,,,✅ Confirmed,
Plane Object,A virtual plane created by a user to get 2D measurement.,,平面オブジェクト,평면 객체,3D Workspace,Measurement,,,,✅ Confirmed,
Angle,The degree value displayed when selecting the object.,,角度,각도,3D Workspace,Measurement,,,,✅ Confirmed,
Distance Display,A box to display the total length of the measurement.,,距離表示,거리 표시 ,3D Workspace,Measurement,,,,✅ Confirmed,
Time Comparison,A tool to compare two surveys captured on the same plan.,,タイム比較,시계열 비교,3D Workspace,Time Comparison,Compare,,,✅ Confirmed,
Allow Time Comparison,A checkbox to share the time comparison tool.,,タイム比較を許可,시계열 비교 허용,3D Workspace,Time Comparison,,,,✅ Confirmed,
Guided Path,A tool to record and view an interactive path of sites.,,ルート案内,경로 안내,3D Workspace,Guided Path,Guide,,,✅ Confirmed,
Information icon,Icon to check the description of the tracking tour.,,インフォメーションアイコン,정보 아이콘 ,3D Workspace,Guided Path,,,,✅ Confirmed,
Pause,A button to pause the tracking tour.,,一時停止,일시 정지 ,3D Workspace,Guided Path,,,,✅ Confirmed,
Play,A button to play the tracking tour.,,再生,재생 ,3D Workspace,Guided Path,,,,✅ Confirmed,
Exit,A button to stop the play mode and exit from the tracking tour.,,終了,종료 ,3D Workspace,Guided Path,,,,✅ Confirmed,
Share,A tool to share your digital twin with external users.,,シェア,공유,3D Workspace,Share,,,,✅ Confirmed,
Password Protected Link,A feature to generate a password-protected share link.,,パスワード保護付リンク,비밀번호 보안 링크,3D Workspace,Share,Password Protected Share,14 Feb 2022,Marketing term: Password Protected Share,✅ Confirmed,
Embedded Survey,A feature to generate a link for embedding the survey.,,埋め込み式サーベイ,임베디드 서베이,3D Workspace,Share,Embeddable Link,14 Feb 2022,Marketing term: Embeddable Link,✅ Confirmed,
Generate Link,A button to generate the share link.,,共有リンクを生成,공유 링크 생성,3D Workspace,Share,,,,✅ Confirmed,
Set Expiry Date,A box to set the expiration date.,,有効期限,만료일 선택,3D Workspace,Share,,,,✅ Confirmed,
Password (Share),A box to input the password.,,パスワード,비밀번호,3D Workspace,Share,,,,✅ Confirmed,
Share Tags,A toggle button to share the tags.,,タグを共有する,태그 공유,3D Workspace,Share,,,,✅ Confirmed,
Share Tracks,A toggle button to share the tracks.,,ミニマップを共有する,트랙 공유,3D Workspace,Share,,,,✅ Confirmed,
Show Measurement,A toggle button to share measurements and objects.,,測定共有,측량 공유,3D Workspace,Share,,,,✅ Confirmed,
Show Mini-map,A toggle button to share Minimap.,,トラックを共有する,미니맵 공유,3D Workspace,Share,,,,✅ Confirmed,
Meet,A feature for the live video chat.,,Meet,Meet,3D Workspace,Meet,Meet,,,✅ Confirmed,
Session,A term for the meeting in Meet.,,セッション,세션,3D Workspace,Meet,,,,✅ Confirmed,
Host,A logged-in user who starts the Meet session.,,ホスト,호스트,3D Workspace,Meet,,,,✅ Confirmed,
Guest,A guest invited to the Meet session.,,ゲスト,게스트,3D Workspace,Meet,,,,✅ Confirmed,
Join,A button to start/join the session.,,ライブシェアに参加する,생성,3D Workspace,Meet,,,,✅ Confirmed,
End,A button to end the session.,,終了,종료 ,3D Workspace,Meet,,,,✅ Confirmed,
Audio (Meet),A microphone icon to set the microphone.,,オーディオ,오디오,3D Workspace,Meet,,,,✅ Confirmed,
Video (Meet),A video icon to set the video.,,ビデオ,비디오,3D Workspace,Meet,,,,✅ Confirmed,
Present,An icon to share your screen with guests.,,画面共有,프레젠트,3D Workspace,Meet,,,,✅ Confirmed,
Sync,An icon to sync the view.,,シンク,싱크 ,3D Workspace,Meet,,,,✅ Confirmed,
Name Configuration,Edit button to edit the name before/after joining Meet.,,表示名設定,사용자 이름 설정 ,3D Workspace,Meet,,,,✅ Confirmed,
Timeline Report,A feature to generate a visual timeline report of survey history across a site.,,タイムラインレポート,시계열 조회,3D Workspace,Timeline Report,,,,✅ Confirmed,
Dollhouse ,A spatial 3D overview automatically generated from a 360˚ video survey.,,ドールハウス,돌하우스,3D Workspace,Dollhouse ,,14 May 2026,,✅ Confirmed,
  ▌ 3D Editor,,,,,,,,,,,
3D Editor,A feature under the site management to edit the survey.,,３Dエディター,3D 에디터,3D Editor,Overview,,,,✅ Confirmed,
3D Mesh,,,3D メッシュ,3D 메쉬,3D Editor,Overview,,,,✅ Confirmed,
Edit Point button,A button to move or delete the points.,,ポイント編集ボタン,포인트 편집 버튼,3D Editor,Point Editing,,,,✅ Confirmed,
Point Rotation,The rotation angle of a single point from the 3D view.,,ポイント方向,포인트 방향,3D Editor,Point Editing,,,,✅ Confirmed,
Image Rotation,A box to input the degree to rotate the 360° image.,,イメージ角度,이미지 각도,3D Editor,Point Editing,,,,✅ Confirmed,
Reorder 360° image,A toggle button to reorder scenes.,,写真並べ替え,360도 이미지 재배열,3D Editor,Point Editing,,,,✅ Confirmed,
Hand button,A button to move the floor plan.,,ハンドボタン,손 버튼,3D Editor,Point Editing,,,,✅ Confirmed,
Go Back,A button to go back to the survey list.,,戻る,뒤로,3D Editor,Point Editing,,,,✅ Confirmed,
Plan Editor,Edit only the specific floor plan associated with this survey.,,フロアプランエディター,도면 에디터,3D Editor,Plan Editing,,,,✅ Confirmed,
Floor Plan tool,Tools to edit points and move the floor plan.,,フロアプランツール,도면 도구,3D Editor,Plan Editing,,,,✅ Confirmed,
Control bar,A bar to rotate the 360° images by clicking and dragging.,,方向調整バー,방향조절바,3D Editor,Plan Editing,,,,✅ Confirmed,
crop,Plan editing tool.,,切り抜き,자르기,3D Editor,Plan Editing,,,,✅ Confirmed,
Blur Mode,A button to manually and auto blur the single 360° image.,,ぼかし,블러처리,3D Editor,Blur,Manual Blur,14 Feb 2022,Marketing term: Manual Blur,✅ Confirmed,
Auto Blur,A button to auto blur the whole survey.,,自動ぼかし加工,자동 블러 처리,3D Editor,Blur,Auto Face Blur,14 Feb 2022,Marketing term: Auto Face Blur,✅ Confirmed,
Brush,A button in the Blur mode to blur the image manually.,,ブラシ,브러쉬,3D Editor,Blur,,,,✅ Confirmed,
Brush Radius,A control bar in Blur mode to change the size of the brush and eraser.,,ブラシの大きさ,브러쉬 크기,3D Editor,Blur,,,,✅ Confirmed,
Erase,A button in Blur mode to unblur the image manually.,,消しゴム,지우개,3D Editor,Blur,,,,✅ Confirmed,
Face icon,A button in Blur mode to auto blur the single image.,,顔マークアイコン,얼굴 아이콘,3D Editor,Blur,,,,✅ Confirmed,
Opening View,Settings for the first point when you open 3D Workspace.,,オープニングビュー,오프닝 뷰,3D Editor,View Settings,,14 Feb 2022,Added,✅ Confirmed,
Camera Height (m),A title for the ceiling height input in the Survey Editor.,,,천장 높이 (m),3D Editor,View Settings,,,,✅ Confirmed,
Ceiling Height (m),A title for the ceiling height input in the Survey Editor.,,,카메라 높이 (m),3D Editor,View Settings,,,,✅ Confirmed,
Settings (3D Editor),"A button to access auto blur, ceiling height, and display settings.",,設定,설정,3D Editor,View Settings,,,,✅ Confirmed,
View (3D Editor),A button to access the 3D Workspace.,,ビュー,미리보기,3D Editor,View Settings,,,,✅ Confirmed,
Save (3D Editor),A button to save the change.,,保存,저장,3D Editor,View Settings,,,,✅ Confirmed,
Schematic Plan,"An automatically generated schematic plan, which hold brief wall/window/door like simple/core objects only, created from a 360˚ video survey.",*mostly related to schematic plan editor users,スキーマティックプラン,개략 도면,3D Editor,Schematic Plan,,,,✅ Confirmed,
Schematic Floor Plan,Floor plan part of generated schemetic plan,,スキーマティックフロアプラン,개략 바닥 도면,3D Editor,Schematic Plan,,,,✅ Confirmed,
Schematic Elevation Plan,Elevation plan part of generated schemetic plan,*mostly related to schematic plan editor users,スキーマティックエレベーションプラン,개략 측면 도면,3D Editor,Schematic Plan,,,,✅ Confirmed,
Schematic Plan Editor (Beta),An editor for viewing and modifying a generated Schematic Floor Plan.,,スキーマティックプランエディター (ベータ),개략 도면 편집기 (베타),3D Editor,Schematic Plan,,,,✅ Confirmed,
  ▌ Beamo App,,,,,,,,,,,
Home (App),"The first screen where a user can search sites, access side panel, switch the team.",,ホーム,홈,Beamo App,Home,,,,✅ Confirmed,
Search bar (App),A box to input name or address to search the site.,,検索バー,검색창,Beamo App,Home,,,,✅ Confirmed,
Site List (App),A list of the sites the selected team has access to.,,サイトリスト,사이트 목록,Beamo App,Home,,,,✅ Confirmed,
Sort (App),"A button to sort by name, last captured date, or number of surveys.",,ソート,이름순 정렬,Beamo App,Home,,,,✅ Confirmed,
Team Selector,Selector to choose the team and browse accessible sites.,,チームセレクター,팀 선택창 ,Beamo App,Home,,,,✅ Confirmed,
Site information,A box displaying site name/address and status of unimported/unuploaded surveys.,,サイト情報,사이트 정보,Beamo App,Home,,,,✅ Confirmed,
Capture,A task to take a 360° image and create it as a point.,,キャプチャ,캡처,Beamo App,Capture,,,,✅ Confirmed,
Auto Mode,A capture mode to capture with auto.,,自動モード,자동 모드,Beamo App,Capture,,,,✅ Confirmed,
Manual Mode,A capture mode to capture manually.,,手動モード,수동 모드,Beamo App,Capture,,,,✅ Confirmed,
Camera Alignment,The process of aligning the 360 camera viewpoint with the smartphone.,,アライメント,화면 정렬,Beamo App,Capture,,,,✅ Confirmed,
Camera Connection,Connecting the RICOH THETA to iPhone via Wi-Fi.,,カメラ接続,카메라 연결,Beamo App,Capture,,,,✅ Confirmed,
Adjusting your position,The process of marking your current position on the floor plan.,,現在位置調整,시작점 조정,Beamo App,Capture,,,,✅ Confirmed,
Reposition,The process of updating your current position during capture.,,再調整,포인트 재교정,Beamo App,Capture,,,,✅ Confirmed,
Tracking,A button to turn ON/OFF the tracking.,,トラッキング,트래킹,Beamo App,Capture,,,,✅ Confirmed,
Current Position,A GPS icon showing your current position on the plan.,,現在位置,현재 위치,Beamo App,Capture,,,,✅ Confirmed,
Point Number,Indicates the order in which the points were captured.,,ポイント番号,포인트 번호 ,Beamo App,Capture,,,,✅ Confirmed,
Delete point,A process to delete the point during capture.,,削除,포인트 삭제,Beamo App,Capture,,,,✅ Confirmed,
Move point,A process to move the point during capture.,,移動,포인트 이동,Beamo App,Capture,,,,✅ Confirmed,
Edit Point (App),A process to delete/move the point in the Capture UI.,,ポイント編集,포인트 편집 ,Beamo App,Capture,,,,✅ Confirmed,
Count down,A selector for countdown timer before capture.,,カウントダウン,카운트다운,Beamo App,Capture,,,,✅ Confirmed,
Capture mode,A selector to select the capture mode (auto/manual).,,キャプチャモード,캡처 모드,Beamo App,Capture,,,,✅ Confirmed,
Grid,A toggle to show/hide a grid on the floor plan.,,グリッド,그리드,Beamo App,Capture,,,,✅ Confirmed,
Guide,A box pop-out in the capture UI to show the tooltips.,,ガイドボックス,가이드 박스 ,Beamo App,Capture,,,,✅ Confirmed,
Tripod Height,A step in capture settings to input the tripod height.,,三脚の高さの設定,삼각대 높이,Beamo App,Capture,,,,✅ Confirmed,
Preview (App),A process to preview the point in the Capture UI.,,プレビュー,미리보기,Beamo App,Capture,,,,✅ Confirmed,
Done,A button in the capture UI to finish the capture.,,完了,완료,Beamo App,Capture,,,,✅ Confirmed,
Floor List,A list of the floor to select the task.,,フロアリスト,사이트 상세 페이지,Beamo App,Capture,,,,✅ Confirmed,
Floor Plan (App),A drawing uploaded from Beamo Portal where the survey is conducted.,,フロアプラン,도면,Beamo App,Capture,,,,✅ Confirmed,
Location Input Pin,A pin to input your current position on the floor plan.,,位置入力ピン,위치 정보 입력 핀 ,Beamo App,Capture,,,,✅ Confirmed,
Scale (App),Scale tool in the Capture UI.,,スケール,스케일 ,Beamo App,Capture,,,,✅ Confirmed,
Remote (App),Toggle to ON/OFF the BLE remote controller.,,リモコン,리모컨,Beamo App,Capture,,,,✅ Confirmed,
Import,Downloading 360° images from 360 camera to smartphone.,,インポート,사진 가져오기,Beamo App,Capture,,,,✅ Confirmed,
